date,location,item,qty_ordered
2026-07-03,L1,Mozzarella,6.0
2026-07-03,L1,Cheddar,50.0
2026-07-03,L1,Riz Atlas M,24.0
2026-07-03,L1,Riz Atlas Xl,6.0
2026-07-03,L1,Champignon,0.5
2026-07-03,L1,Poulet Crousty,16.0
2026-07-03,L1,Viande Hachée B,2.0
2026-07-03,L1,Viande Haché Burger,20.0
2026-07-03,L1,Laitue,1.0
2026-07-03,L1,Poulet,16.0
2026-07-03,L1,Tomate,1.0
2026-07-03,L1,Sauce Tomate,2.0
2026-07-03,L1,Sauce Barbecue,1.0
2026-07-03,L1,oignon Crunchy,1.0
2026-07-03,L1,Sauce Fromagère,5.0
2026-07-03,L1,Sauce Tartare,4.0
2026-07-03,L1,Oreo entier (PS),1.0
2026-07-03,L1,Sauce Biggy,2.0
2026-07-03,L1,Crème caramel,2.0
2026-07-03,L1,Sachet Emporté,300.0
2026-07-03,L1,Sachet Frite,400.0
2026-07-03,L1,Fourchette,50.0
2026-07-03,L1,Cuillères,50.0
2026-07-03,L1,tagliatelle,5.0
2026-07-03,L1,Génoise,14.0
2026-07-03,L1,Pain Tacos,1.0
2026-07-03,L1,Papier Cuisine,2.0
2026-07-03,L1,Mangue,30.0
2026-07-03,L1,Citrons,15.0
2026-07-03,L1,Yaourt Grec,16.0
2026-07-03,L1,Pot de sauce Ket + May,50.0
2026-07-03,L1,Pot de sauce Biggy + Alg,100.0
2026-07-03,L1,Glacons,1.0
2026-07-03,L2,Poke Bowl Salade,15.0
2026-07-03,L2,Mozzarella,6.0
2026-07-03,L2,Sauce Salade,2.0
2026-07-03,L2,Cheddar,40.0
2026-07-03,L2,Riz Atlas M,15.0
2026-07-03,L2,Riz Atlas Xl,15.0
2026-07-03,L2,Poulet Crousty,8.0
2026-07-03,L2,Viande Hachée B,2.0
2026-07-03,L2,Viande Haché Burger,40.0
2026-07-03,L2,Laitue,1.5
2026-07-03,L2,Poulet,12.0
2026-07-03,L2,Tomate,1.5
2026-07-03,L2,oignon,0.8
2026-07-03,L2,Sauce Tomate,4.0
2026-07-03,L2,Sauce Barbecue,1.0
2026-07-03,L2,oignon Crunchy,2.0
2026-07-03,L2,Sauce Fromagère,10.0
2026-07-03,L2,Jalapenos,0.3
2026-07-03,L2,Olive Noir,0.3
2026-07-03,L2,Sauce Tartare,5.0
2026-07-03,L2,Cornichons,0.8
2026-07-03,L2,Sauce truffes,0.5
2026-07-03,L2,Oreo entier (PS),1.0
2026-07-03,L2,Sauce Biggy,1.0
2026-07-03,L2,Sauce Algérienne,1.0
2026-07-03,L2,Boite Pizza M,1.0
2026-07-03,L2,Crème chocolat,2.0
2026-07-03,L2,Sachet Sandwich,200.0
2026-07-03,L2,Crème caramel,2.0
2026-07-03,L2,Sachet Emporté,200.0
2026-07-03,L2,Sachet Frite,400.0
2026-07-03,L2,Fourchette,100.0
2026-07-03,L2,Bowl Pasta,1.0
2026-07-03,L2,Cuillères,150.0
2026-07-03,L2,Gobelet Jus,200.0
2026-07-03,L2,Génoise,30.0
2026-07-03,L2,Pain Tacos,1.0
2026-07-03,L2,Papier Cuisine,2.0
2026-07-03,L2,Mangue,20.0
2026-07-03,L2,Citrons,15.0
2026-07-03,L2,Yaourt Grec,20.0
2026-07-03,L2,Pot de sauce Ket + May,60.0
2026-07-03,L2,Pot de sauce Biggy + Alg,60.0
2026-07-03,L2,Glacons,2.0
2026-07-04,L1,Mozzarella,5.0
2026-07-04,L1,Sauce Salade,2.0
2026-07-04,L1,Cheddar,2.0
2026-07-04,L1,Riz Atlas M,10.0
2026-07-04,L1,Riz Atlas Xl,10.0
2026-07-04,L1,Edam,0.3
2026-07-04,L1,Poulet Crousty,18.0
2026-07-04,L1,Viande Hachée B,4.0
2026-07-04,L1,Viande Haché Burger,20.0
2026-07-04,L1,Poulet,16.0
2026-07-04,L1,Tomate,1.0
2026-07-04,L1,oignon,0.5
2026-07-04,L1,Sauce Tomate,4.0
2026-07-04,L1,Sauce Barbecue,1.0
2026-07-04,L1,oignon Crunchy,1.0
2026-07-04,L1,Sauce Fromagère,8.0
