date,location,dish,qty_sold
2026-07-04,L1,Coca 33 cl,11.0
2026-07-04,L1,Hawai Tropical 33 cl,10.0
2026-07-04,L1,Poms 33 cl,3.0
2026-07-04,L1,Chicken Burger,17.0
2026-07-04,L1,Cheese Burger,5.0
2026-07-04,L1,Mexicain Burger,4.0
2026-07-04,L1,Crousty Atlas XL,26.0
2026-07-04,L1,Crousty Atlas M,11.0
2026-07-04,L1,Yaourt GREC,13.0
2026-07-04,L1,Dopamina Oreo,35.0
2026-07-04,L1,Frites Maison,81.0
2026-07-04,L1,Frites Maison Epicees,30.0
2026-07-04,L1,Jus de Mangue,29.0
2026-07-04,L1,Jus de Citron,13.0
2026-07-04,L1,Jus D'Avocat,2.0
2026-07-04,L1,MENU 79 COUPE DU MONDE,14.0
2026-07-04,L1,Pasta Alfredo,4.0
2026-07-04,L1,Pasta Bolognaise,6.0
2026-07-04,L1,Pasticcio Poulet,13.0
2026-07-04,L1,Pasticcio Bolognaise,9.0
2026-07-04,L1,Pizza Bufallo M,6.0
2026-07-04,L1,POULET BBQ M,18.0
2026-07-04,L1,Pizza Marinara M,14.0
2026-07-04,L1,Pizza Poulet Mexicain Haaar M,7.0
2026-07-04,L1,Poke Bowl Poulet Crousty,6.0
2026-07-04,L1,Poke Bowl Nature,1.0
2026-07-04,L1,Sandwich Poulet Crousty,9.0
2026-07-04,L1,Sandwich le Grec Poulet,19.0
2026-07-04,L1,Tacos Poulet,55.0
2026-07-04,L1,Tacos Poulet Crousty,74.0
2026-07-05,L1,Hawai Tropical 33 cl,4.0
2026-07-05,L1,Coca 33 cl,4.0
2026-07-05,L1,Sprit 33 cl,5.0
2026-07-05,L1,Poms 33 cl,4.0
2026-07-05,L1,Sidi Ali 50 cl,2.0
2026-07-05,L1,Cheese Burger,9.0
2026-07-05,L1,Mexicain Burger,2.0
2026-07-05,L1,Chicken Burger,15.0
2026-07-05,L1,Crousty Atlas M,11.0
2026-07-05,L1,Crousty Atlas XL,4.0
2026-07-05,L1,Dopamina Oreo,21.0
2026-07-05,L1,Yaourt GREC,8.0
2026-07-05,L1,Frites Maison,83.0
2026-07-05,L1,Frites Maison Epicees,22.0
2026-07-05,L1,Jus de Mangue,18.0
2026-07-05,L1,Jus D'Avocat,2.0
2026-07-05,L1,Jus de Citron,10.0
2026-07-05,L1,Pasta Bolognaise,5.0
2026-07-05,L1,Pasta Alfredo,9.0
2026-07-05,L1,Pasticcio Poulet,12.0
2026-07-05,L1,Pasticcio Bolognaise,6.0
2026-07-05,L1,POULET BBQ M,19.0
2026-07-05,L1,Pizza Poulet Mexicain Haaar M,17.0
2026-07-05,L1,Pizza Marinara M,10.0
2026-07-05,L1,Pizza Bufallo M,10.0
2026-07-05,L1,Poke Bowl Nature,3.0
2026-07-05,L1,Poke Bowl Poulet Crousty,3.0
2026-07-05,L1,Sandwich le Grec Poulet,27.0
2026-07-05,L1,Sandwich Poulet Crousty,10.0
2026-07-05,L1,Tacos Poulet,67.0
2026-07-05,L1,Tacos Poulet Crousty,42.0
2026-07-06,L1,Coca 33 cl,13.0
2026-07-06,L1,Sprit 33 cl,2.0
2026-07-06,L1,Hawai Tropical 33 cl,11.0
2026-07-06,L1,Sidi Ali 50 cl,3.0
2026-07-06,L1,Mexicain Burger,2.0
2026-07-06,L1,Chicken Burger,15.0
2026-07-06,L1,Cheese Burger,8.0
2026-07-06,L1,Crousty Atlas XL,11.0
2026-07-06,L1,Crousty Atlas M,7.0
2026-07-06,L1,Yaourt GREC,16.0
2026-07-06,L1,Dopamina Oreo,22.0
2026-07-06,L1,Frites Maison,92.0
2026-07-06,L1,Frites Maison Epicees,12.0
2026-07-06,L1,Jus de Citron,19.0
2026-07-06,L1,Jus de Mangue,19.0
2026-07-06,L1,Jus D'Avocat,7.0
2026-07-06,L1,Pasta Bolognaise,5.0
2026-07-06,L1,Pasta Alfredo,5.0
2026-07-06,L1,Pasticcio Poulet,10.0
2026-07-06,L1,Pasticcio Bolognaise,3.0
2026-07-06,L1,Pizza Bufallo M,7.0
2026-07-06,L1,Pizza Marinara M,13.0
2026-07-06,L1,POULET BBQ M,10.0
2026-07-06,L1,Pizza Poulet Mexicain Haaar M,9.0
2026-07-06,L1,Poke Bowl Poulet Crousty,2.0
2026-07-06,L1,Sandwich Poulet Crousty,15.0
2026-07-06,L1,Sandwich le Grec Poulet,22.0
2026-07-06,L1,Tacos Poulet,64.0
2026-07-06,L1,Tacos Poulet Crousty,40.0
2026-07-09,L1,Coca 33 cl,2.0
2026-07-09,L1,Hawai Tropical 33 cl,8.0
2026-07-09,L1,Poms 33 cl,6.0
2026-07-09,L1,Sidi Ali 50 cl,1.0
2026-07-09,L1,Chicken Burger,18.0
2026-07-09,L1,Cheese Burger,8.0
2026-07-09,L1,Mexicain Burger,2.0
2026-07-09,L1,Crousty Atlas XL,10.0
2026-07-09,L1,Crousty Atlas M,10.0
2026-07-09,L1,Yaourt GREC,12.0
2026-07-09,L1,Dopamina Oreo,34.0
2026-07-09,L1,Dopamina Chocolat,1.0
2026-07-09,L1,Frites Maison,85.0
2026-07-09,L1,Frites Maison Epicees,33.0
2026-07-09,L1,Jus de Citron,12.0
2026-07-09,L1,Jus de Mangue,14.0
2026-07-09,L1,Jus D'Avocat,9.0
2026-07-09,L1,MENU 79 COUPE DU MONDE,26.0
2026-07-09,L1,Pasta Alfredo,10.0
2026-07-09,L1,Pasta Bolognaise,1.0
2026-07-09,L1,Pasticcio Poulet,8.0
2026-07-09,L1,Pasticcio Bolognaise,5.0
2026-07-09,L1,Pizza Marinara M,12.0
2026-07-09,L1,Pizza Bufallo M,11.0
2026-07-09,L1,Pizza Poulet Mexicain Haaar M,11.0
2026-07-09,L1,POULET BBQ M,15.0
2026-07-09,L1,Poke Bowl Poulet Crousty,9.0
2026-07-09,L1,Poke Bowl Nature,2.0
2026-07-09,L1,Sandwich le Grec Poulet,29.0
2026-07-09,L1,Sandwich Poulet Crousty,25.0
2026-07-09,L1,Tacos Poulet,52.0
2026-07-09,L1,Tacos Poulet Crousty,23.0
2026-07-10,L1,Sprit 33 cl,5.0
2026-07-10,L1,Coca 33 cl,13.0
2026-07-10,L1,Hawai Tropical 33 cl,2.0
2026-07-10,L1,Hawai Ananas 33 cl,3.0
2026-07-10,L1,Poms 33 cl,1.0
2026-07-10,L1,Cheese Burger,4.0
2026-07-10,L1,Chicken Burger,16.0
2026-07-10,L1,Mexicain Burger,5.0
2026-07-10,L1,Crousty Atlas M,14.0
2026-07-10,L1,Crousty Atlas XL,12.0
2026-07-10,L1,Dopamina Oreo,20.0
2026-07-10,L1,Yaourt GREC,7.0
2026-07-10,L1,Frites Maison,79.0
2026-07-10,L1,Frites Maison Epicees,17.0
2026-07-10,L1,Jus de Mangue,11.0
2026-07-10,L1,Jus D'Avocat,3.0
2026-07-10,L1,Jus de Citron,2.0
2026-07-10,L1,Pasta Alfredo,14.0
2026-07-10,L1,Pasta Bolognaise,4.0
2026-07-10,L1,Pasticcio Bolognaise,7.0
2026-07-10,L1,Pasticcio Poulet,6.0
2026-07-10,L1,Pizza Marinara M,9.0
2026-07-10,L1,Pizza Bufallo M,10.0
2026-07-10,L1,POULET BBQ M,11.0
2026-07-10,L1,Pizza Poulet Mexicain Haaar M,9.0
2026-07-10,L1,Poke Bowl Poulet Crousty,1.0
2026-07-10,L1,Poke Bowl Nature,1.0
2026-07-10,L1,Sandwich le Grec Poulet,26.0
2026-07-10,L1,Sandwich Poulet Crousty,21.0
2026-07-10,L1,Tacos Poulet,47.0
2026-07-10,L1,Tacos Poulet Crousty,37.0
2026-07-11,L1,Coca 33 cl,6.0
2026-07-11,L1,Hawai Tropical 33 cl,13.0
2026-07-11,L1,Chicken Burger,6.0
2026-07-11,L1,Cheese Burger,8.0
2026-07-11,L1,Mexicain Burger,1.0
2026-07-11,L1,Crousty Atlas XL,10.0
2026-07-11,L1,Crousty Atlas M,14.0
2026-07-11,L1,Yaourt GREC,7.0
2026-07-11,L1,Dopamina Oreo,25.0
2026-07-11,L1,Frites Maison Epicees,19.0
2026-07-11,L1,Frites Maison,105.0
2026-07-11,L1,Jus de Citron,8.0
2026-07-11,L1,Jus de Mangue,15.0
2026-07-11,L1,Jus D'Avocat,2.0
2026-07-11,L1,Pasta Bolognaise,2.0
2026-07-11,L1,Pasta Alfredo,6.0
2026-07-11,L1,Pasticcio Bolognaise,5.0
2026-07-11,L1,Pasticcio Poulet,11.0
2026-07-11,L1,Pizza Marinara M,13.0
2026-07-11,L1,Pizza Bufallo M,16.0
2026-07-11,L1,Pizza Poulet Mexicain Haaar M,18.0
2026-07-11,L1,POULET BBQ M,17.0
2026-07-11,L1,Poke Bowl Poulet Crousty,4.0
2026-07-11,L1,Poke Bowl Nature,2.0
2026-07-11,L1,Sandwich Poulet Crousty,18.0
2026-07-11,L1,Sandwich le Grec Poulet,26.0
2026-07-11,L1,Tacos Poulet,86.0
2026-07-11,L1,Tacos Poulet Crousty,53.0
2026-07-12,L1,Coca 33 cl,6.0
2026-07-12,L1,Sprit 33 cl,2.0
2026-07-12,L1,Hawai Tropical 33 cl,5.0
2026-07-12,L1,Cheese Burger,9.0
2026-07-12,L1,Chicken Burger,20.0
2026-07-12,L1,Mexicain Burger,4.0
2026-07-12,L1,Crousty Atlas M,9.0
2026-07-12,L1,Crousty Atlas XL,8.0
2026-07-12,L1,Dopamina Oreo,28.0
2026-07-12,L1,Yaourt GREC,6.0
2026-07-12,L1,Frites Maison,127.0
2026-07-12,L1,Frites Maison Epicees,10.0
2026-07-12,L1,Jus de Citron,15.0
2026-07-12,L1,Jus de Mangue,6.0
2026-07-12,L1,Jus D'Avocat,2.0
2026-07-12,L1,Pasta Bolognaise,8.0
2026-07-12,L1,Pasta Alfredo,6.0
2026-07-12,L1,Pasticcio Bolognaise,5.0
2026-07-12,L1,Pasticcio Poulet,4.0
2026-07-12,L1,POULET BBQ M,13.0
2026-07-12,L1,Pizza Marinara M,7.0
2026-07-12,L1,Pizza Poulet Mexicain Haaar M,13.0
2026-07-12,L1,Pizza Bufallo M,6.0
2026-07-12,L1,Poke Bowl Poulet Crousty,6.0
2026-07-12,L1,Poke Bowl Nature,3.0
2026-07-12,L1,Sandwich le Grec Poulet,22.0
2026-07-12,L1,Sandwich Poulet Crousty,18.0
2026-07-12,L1,Tacos Poulet Crousty,56.0
2026-07-12,L1,Tacos Poulet,86.0
2026-07-13,L1,Coca 33 cl,3.0
2026-07-13,L1,Hawai Tropical 33 cl,6.0
2026-07-13,L1,Poms 33 cl,10.0
2026-07-13,L1,Mexicain Burger,8.0
2026-07-13,L1,Chicken Burger,9.0
2026-07-13,L1,Cheese Burger,13.0
2026-07-13,L1,Crousty Atlas M,17.0
2026-07-13,L1,Crousty Atlas XL,19.0
2026-07-13,L1,Yaourt GREC,5.0
2026-07-13,L1,Dopamina Oreo,25.0
2026-07-13,L1,Frites Maison,89.0
2026-07-13,L1,Frites Maison Epicees,9.0
2026-07-13,L1,Jus de Citron,6.0
2026-07-13,L1,Jus D'Avocat,3.0
2026-07-13,L1,Jus de Mangue,7.0
2026-07-13,L1,Pasta Alfredo,11.0
2026-07-13,L1,Pasta Bolognaise,7.0
2026-07-13,L1,Pasticcio Poulet,9.0
2026-07-13,L1,Pasticcio Bolognaise,8.0
2026-07-13,L1,Pizza Poulet Mexicain Haaar M,15.0
2026-07-13,L1,Pizza Bufallo M,20.0
2026-07-13,L1,POULET BBQ M,18.0
2026-07-13,L1,Pizza Marinara M,3.0
2026-07-13,L1,Poke Bowl Poulet Crousty,4.0
2026-07-13,L1,Poke Bowl Nature,4.0
2026-07-13,L1,Sandwich le Grec Poulet,20.0
2026-07-13,L1,Sandwich Poulet Crousty,15.0
2026-07-13,L1,Tacos Poulet Crousty,46.0
2026-07-13,L1,Tacos Poulet,35.0
2026-07-14,L1,Coca 33 cl,10.0
2026-07-14,L1,Hawai Tropical 33 cl,24.0
2026-07-14,L1,Sprit 33 cl,1.0
2026-07-14,L1,Poms 33 cl,4.0
2026-07-14,L1,Cheese Burger,5.0
2026-07-14,L1,Chicken Burger,17.0
2026-07-14,L1,Mexicain Burger,6.0
2026-07-14,L1,Crousty Atlas XL,14.0
2026-07-14,L1,Crousty Atlas M,7.0
2026-07-14,L1,Dopamina Oreo,28.0
2026-07-14,L1,Yaourt GREC,3.0
2026-07-14,L1,Frites Maison Epicees,20.0
2026-07-14,L1,Frites Maison,100.0
2026-07-14,L1,Jus de Mangue,18.0
2026-07-14,L1,Jus de Citron,7.0
2026-07-14,L1,Jus D'Avocat,2.0
2026-07-14,L1,Pasta Alfredo,12.0
2026-07-14,L1,Pasta Bolognaise,2.0
2026-07-14,L1,Pasticcio Poulet,6.0
2026-07-14,L1,Pasticcio Bolognaise,1.0
2026-07-14,L1,POULET BBQ M,25.0
2026-07-14,L1,Pizza Marinara M,10.0
2026-07-14,L1,Pizza Poulet Mexicain Haaar M,13.0
2026-07-14,L1,Pizza Bufallo M,11.0
2026-07-14,L1,Poke Bowl Poulet Crousty,6.0
2026-07-14,L1,Poke Bowl Nature,1.0
2026-07-14,L1,Sandwich le Grec Poulet,27.0
2026-07-14,L1,Sandwich Poulet Crousty,26.0
2026-07-14,L1,Tacos Poulet,57.0
2026-07-14,L1,Tacos Poulet Crousty,40.0
2026-07-15,L1,Coca 33 cl,10.0
2026-07-15,L1,Hawai Tropical 33 cl,1.0
2026-07-15,L1,Sidi Ali 50 cl,4.0
2026-07-15,L1,Cheese Burger,6.0
2026-07-15,L1,Mexicain Burger,2.0
2026-07-15,L1,Chicken Burger,5.0
2026-07-15,L1,Crousty Atlas XL,8.0
2026-07-15,L1,Crousty Atlas M,5.0
2026-07-15,L1,Dopamina Oreo,15.0
2026-07-15,L1,Yaourt GREC,5.0
2026-07-15,L1,Frites Maison Epicees,10.0
2026-07-15,L1,Frites Maison,79.0
2026-07-15,L1,Jus D'Avocat,3.0
2026-07-15,L1,Jus de Citron,6.0
2026-07-15,L1,Jus de Mangue,19.0
2026-07-15,L1,Pasta Bolognaise,4.0
2026-07-15,L1,Pasta Alfredo,5.0
2026-07-15,L1,Pasticcio Bolognaise,4.0
2026-07-15,L1,Pasticcio Poulet,1.0
2026-07-15,L1,POULET BBQ M,10.0
2026-07-15,L1,Pizza Poulet Mexicain Haaar M,21.0
2026-07-15,L1,Pizza Marinara M,14.0
2026-07-15,L1,Pizza Bufallo M,11.0
2026-07-15,L1,Poke Bowl Nature,2.0
2026-07-15,L1,Sandwich Poulet Crousty,28.0
2026-07-15,L1,Sandwich le Grec Poulet,18.0
2026-07-15,L1,Tacos Poulet,56.0
2026-07-15,L1,Tacos Poulet Crousty,37.0
2026-07-16,L1,Hawai Tropical 33 cl,8.0
2026-07-16,L1,Coca 33 cl,11.0
2026-07-16,L1,Poms 33 cl,3.0
2026-07-16,L1,Sprit 33 cl,1.0
2026-07-16,L1,Chicken Burger,18.0
2026-07-16,L1,Cheese Burger,3.0
2026-07-16,L1,Crousty Atlas XL,7.0
2026-07-16,L1,Crousty Atlas M,12.0
2026-07-16,L1,Dopamina Oreo,20.0
2026-07-16,L1,Yaourt GREC,5.0
2026-07-16,L1,Frites Maison Epicees,11.0
2026-07-16,L1,Frites Maison,71.0
2026-07-16,L1,Jus de Citron,11.0
2026-07-16,L1,Jus de Mangue,12.0
2026-07-16,L1,Jus D'Avocat,2.0
2026-07-16,L1,Pasta Bolognaise,6.0
2026-07-16,L1,Pasta Alfredo,7.0
2026-07-16,L1,Pasticcio Poulet,6.0
2026-07-16,L1,Pasticcio Bolognaise,1.0
2026-07-16,L1,POULET BBQ M,17.0
2026-07-16,L1,Pizza Poulet Mexicain Haaar M,15.0
2026-07-16,L1,Pizza Bufallo M,9.0
2026-07-16,L1,Pizza Margaritta M,6.0
2026-07-16,L1,Pizza Marinara M,8.0
2026-07-16,L1,Poke Bowl Poulet Crousty,3.0
2026-07-16,L1,Poke Bowl Nature,7.0
2026-07-16,L1,Sandwich Poulet Crousty,31.0
2026-07-16,L1,Sandwich le Grec Poulet,17.0
2026-07-16,L1,Tacos Poulet Crousty,41.0
2026-07-16,L1,Tacos Poulet,59.0
2026-07-17,L1,Hawai Tropical 33 cl,7.0
2026-07-17,L1,Coca 33 cl,13.0
2026-07-17,L1,Sprit 33 cl,2.0
2026-07-17,L1,Poms 33 cl,7.0
2026-07-17,L1,Chicken Burger,15.0
2026-07-17,L1,Mexicain Burger,3.0
2026-07-17,L1,Cheese Burger,6.0
2026-07-17,L1,Crousty Atlas M,7.0
2026-07-17,L1,Crousty Atlas XL,17.0
2026-07-17,L1,Yaourt GREC,4.0
2026-07-17,L1,Dopamina Oreo,25.0
2026-07-17,L1,Frites Maison,71.0
2026-07-17,L1,Frites Maison Epicees,15.0
2026-07-17,L1,Jus de Mangue,12.0
2026-07-17,L1,Jus de Citron,10.0
2026-07-17,L1,Jus D'Avocat,2.0
2026-07-17,L1,Pasta Alfredo,8.0
2026-07-17,L1,Pasta Bolognaise,4.0
2026-07-17,L1,Pasticcio Bolognaise,6.0
2026-07-17,L1,Pasticcio Poulet,14.0
2026-07-17,L1,Pizza Marinara M,19.0
2026-07-17,L1,Pizza Bufallo M,12.0
2026-07-17,L1,POULET BBQ M,21.0
2026-07-17,L1,Pizza Poulet Mexicain Haaar M,12.0
2026-07-17,L1,Poke Bowl Nature,3.0
2026-07-17,L1,Poke Bowl Poulet Crousty,2.0
2026-07-17,L1,Sandwich le Grec Poulet,18.0
2026-07-17,L1,Sandwich Poulet Crousty,20.0
2026-07-17,L1,Tacos Poulet,52.0
2026-07-17,L1,Tacos Poulet Crousty,46.0
2026-07-18,L1,Hawai Tropical 33 cl,11.0
2026-07-18,L1,Sprit 33 cl,2.0
2026-07-18,L1,Poms 33 cl,2.0
2026-07-18,L1,Coca 33 cl,6.0
2026-07-18,L1,Mexicain Burger,8.0
2026-07-18,L1,Chicken Burger,8.0
2026-07-18,L1,Cheese Burger,7.0
2026-07-18,L1,Crousty Atlas XL,10.0
2026-07-18,L1,Crousty Atlas M,17.0
2026-07-18,L1,Dopamina Oreo,23.0
2026-07-18,L1,Yaourt GREC,1.0
2026-07-18,L1,Frites Maison,92.0
2026-07-18,L1,Frites Maison Epicees,14.0
2026-07-18,L1,Jus de Mangue,19.0
2026-07-18,L1,Jus de Citron,14.0
2026-07-18,L1,Jus D'Avocat,1.0
2026-07-18,L1,Pasta Alfredo,5.0
2026-07-18,L1,Pasta Bolognaise,3.0
2026-07-18,L1,Pasticcio Poulet,10.0
2026-07-18,L1,Pasticcio Bolognaise,7.0
2026-07-18,L1,Pizza Poulet Mexicain Haaar M,13.0
2026-07-18,L1,Pizza Bufallo M,16.0
2026-07-18,L1,Pizza Marinara M,15.0
2026-07-18,L1,Pizza Margaritta M,1.0
2026-07-18,L1,POULET BBQ M,15.0
2026-07-18,L1,Poke Bowl Nature,4.0
2026-07-18,L1,Sandwich Poulet Crousty,24.0
2026-07-18,L1,Sandwich le Grec Poulet,46.0
2026-07-18,L1,Tacos Poulet Crousty,27.0
2026-07-18,L1,Tacos Poulet,70.0
2026-07-19,L1,Sprit 33 cl,8.0
2026-07-19,L1,Hawai Tropical 33 cl,16.0
2026-07-19,L1,Schwepps Citron 33 cl,3.0
2026-07-19,L1,Sidi Ali 50 cl,2.0
2026-07-19,L1,Coca 33 cl,1.0
2026-07-19,L1,Chicken Burger,18.0
2026-07-19,L1,Cheese Burger,5.0
2026-07-19,L1,Mexicain Burger,2.0
2026-07-19,L1,Crousty Atlas XL,10.0
2026-07-19,L1,Crousty Atlas M,13.0
2026-07-19,L1,Dopamina Oreo,18.0
2026-07-19,L1,Yaourt GREC,9.0
2026-07-19,L1,Frites Maison,84.0
2026-07-19,L1,Frites Maison Epicees,15.0
2026-07-19,L1,Jus de Mangue,19.0
2026-07-19,L1,Jus D'Avocat,2.0
2026-07-19,L1,Jus de Citron,2.0
