date,location,dish,qty_sold
2026-07-18,L2,Cheese Burger,13
2026-07-18,L2,Chicken Burger,17
2026-07-18,L2,Crousty Atlas M,15
2026-07-18,L2,Crousty Atlas XL,16
2026-07-18,L2,Dopamina Oreo,51
2026-07-18,L2,Frites Maison,56
2026-07-18,L2,Frites Maison Epicees,26
2026-07-18,L2,Jus D'Avocat,1
2026-07-18,L2,Jus de Citron,3
2026-07-18,L2,Jus de Mangue,9
2026-07-18,L2,Mexicain Burger,10
2026-07-18,L2,POULET BBQ M,11
2026-07-18,L2,Pasta Alfredo,14
2026-07-18,L2,Pasta Bolognaise,3
2026-07-18,L2,Pasticcio Bolognaise,3
2026-07-18,L2,Pasticcio Poulet,11
2026-07-18,L2,Pizza Bufallo M,6
2026-07-18,L2,Pizza Marinara M,12
2026-07-18,L2,Pizza Poulet Mexicain Haaar M,13
2026-07-18,L2,Poke Bowl Nature,1
2026-07-18,L2,Poke Bowl Poulet Crousty,8
2026-07-18,L2,Sandwich Poulet Crousty,24
2026-07-18,L2,Sandwich le Grec Poulet,28
2026-07-18,L2,Tacos Poulet,33
2026-07-18,L2,Tacos Poulet Crousty,49
2026-07-18,L2,Yaourt GREC,8
2026-07-19,L2,Cheese Burger,15
2026-07-19,L2,Chicken Burger,13
2026-07-19,L2,Crousty Atlas M,20
2026-07-19,L2,Crousty Atlas XL,15
2026-07-19,L2,Dopamina Oreo,41
2026-07-19,L2,Frites Maison,82
2026-07-19,L2,Frites Maison Epicees,30
2026-07-19,L2,Jus D'Avocat,1
2026-07-19,L2,Jus de Citron,7
2026-07-19,L2,Jus de Mangue,14
2026-07-19,L2,Mexicain Burger,13
2026-07-19,L2,POULET BBQ M,7
2026-07-19,L2,Pasta Alfredo,11
2026-07-19,L2,Pasta Bolognaise,5
2026-07-19,L2,Pasticcio Bolognaise,3
2026-07-19,L2,Pasticcio Poulet,4
2026-07-19,L2,Pizza Bufallo M,3
2026-07-19,L2,Pizza Marinara M,6
2026-07-19,L2,Pizza Poulet Mexicain Haaar M,11
2026-07-19,L2,Poke Bowl Nature,1
2026-07-19,L2,Poke Bowl Poulet Crousty,8
2026-07-19,L2,Sandwich Poulet Crousty,24
2026-07-19,L2,Sandwich le Grec Poulet,29
2026-07-19,L2,Tacos Poulet,39
2026-07-19,L2,Tacos Poulet Crousty,42
2026-07-19,L2,Yaourt GREC,8
2026-07-20,L2,Cheese Burger,15
2026-07-20,L2,Chicken Burger,18
2026-07-20,L2,Crousty Atlas M,13
2026-07-20,L2,Crousty Atlas XL,10
2026-07-20,L2,Dopamina Oreo,32
2026-07-20,L2,Frites Maison,68
2026-07-20,L2,Frites Maison Epicees,28
2026-07-20,L2,Jus D'Avocat,2
2026-07-20,L2,Jus de Citron,8
2026-07-20,L2,Jus de Mangue,14
2026-07-20,L2,Mexicain Burger,11
2026-07-20,L2,POULET BBQ M,9
2026-07-20,L2,Pasta Alfredo,4
2026-07-20,L2,Pasta Bolognaise,4
2026-07-20,L2,Pasticcio Bolognaise,5
2026-07-20,L2,Pasticcio Poulet,7
2026-07-20,L2,Pizza Bufallo M,3
2026-07-20,L2,Pizza Marinara M,11
2026-07-20,L2,Pizza Poulet Mexicain Haaar M,8
2026-07-20,L2,Poke Bowl Nature,1
2026-07-20,L2,Poke Bowl Poulet Crousty,12
2026-07-20,L2,Sandwich Poulet Crousty,26
2026-07-20,L2,Sandwich le Grec Poulet,32
2026-07-20,L2,Tacos Poulet,21
2026-07-20,L2,Tacos Poulet Crousty,42
2026-07-20,L2,Yaourt GREC,12
2026-07-21,L2,Cheese Burger,11
2026-07-21,L2,Chicken Burger,18
2026-07-21,L2,Crousty Atlas M,10
2026-07-21,L2,Crousty Atlas XL,13
2026-07-21,L2,Dopamina Oreo,18
2026-07-21,L2,Frites Maison,47
2026-07-21,L2,Frites Maison Epicees,30
2026-07-21,L2,Jus D'Avocat,1
